filename,index,quality,bpp_dct,bpp_jpeg,jpeg_quality_used,compression_ratio,sigma_adaptive,psnr_dct,ssim_dct,lpips_dct,kurt_dct,sigma_r_dct,tail_frac_dct,psnr_dncnn_pq,ssim_dncnn_pq,lpips_dncnn_pq,kurt_dncnn_pq,kurt_exc_dncnn_pq,sigma_r_dncnn_pq,skew_dncnn_pq,tail_frac_dncnn_pq,gain_psnr_dncnn_pq,psnr_dncnn_gl,ssim_dncnn_gl,lpips_dncnn_gl,kurt_dncnn_gl,kurt_exc_dncnn_gl,sigma_r_dncnn_gl,skew_dncnn_gl,tail_frac_dncnn_gl,gain_psnr_dncnn_gl,psnr_ffdnet_pq,ssim_ffdnet_pq,lpips_ffdnet_pq,kurt_ffdnet_pq,kurt_exc_ffdnet_pq,sigma_r_ffdnet_pq,skew_ffdnet_pq,tail_frac_ffdnet_pq,gain_psnr_ffdnet_pq,psnr_ffdnet_gl,ssim_ffdnet_gl,lpips_ffdnet_gl,kurt_ffdnet_gl,kurt_exc_ffdnet_gl,sigma_r_ffdnet_gl,skew_ffdnet_gl,tail_frac_ffdnet_gl,gain_psnr_ffdnet_gl,psnr_arcnn_pq,ssim_arcnn_pq,lpips_arcnn_pq,kurt_arcnn_pq,kurt_exc_arcnn_pq,sigma_r_arcnn_pq,skew_arcnn_pq,tail_frac_arcnn_pq,gain_psnr_arcnn_pq,psnr_arcnn_gl,ssim_arcnn_gl,lpips_arcnn_gl,kurt_arcnn_gl,kurt_exc_arcnn_gl,sigma_r_arcnn_gl,skew_arcnn_gl,tail_frac_arcnn_gl,gain_psnr_arcnn_gl
0702.png,35,25,0.3351,0.3403,13,71.6306,0.017668,33.0367,0.874088,,9.88009196239233,4.505436632433751,0.0162353515625,33.496,0.885873,,10.244263859062746,7.244263859062746,4.111142258438,-0.05734855667156188,0.016937255859375,0.4593,33.3203,0.880424,,11.103606379217604,8.103606379217604,4.246281597012507,-0.06620543735924003,0.0161285400390625,0.2836,28.323,0.83681,,7.122770897190096,4.122770897190096,7.078128908690031,-0.5950915715932639,0.0163726806640625,-4.7137,32.3596,0.869945,,9.483676989898129,6.483676989898129,4.862735175730908,-0.1749827591296964,0.0158233642578125,-0.6771,33.3674,0.882482,,11.026067197178334,8.026067197178334,4.224194814170076,-0.0022734514412151748,0.01654052734375,0.3307,33.3142,0.880716,,10.865455857325582,7.865455857325582,4.272078642350031,0.015385202590833695,0.0163726806640625,0.2775
0702.png,35,50,0.5834,0.5786,35,41.1378,0.013643,35.4026,0.92039,,10.940427825882516,3.478899615733703,0.01751708984375,35.3841,0.920154,,10.877120157319695,7.877120157319695,3.489858161486981,0.0801929881623961,0.0175628662109375,-0.0185,35.6407,0.923294,,12.376878989349994,9.376878989349994,3.3052094372023144,-0.06687811372158313,0.01806640625,0.2381,31.9076,0.910913,,3.884671650853413,0.8846716508534129,5.795244460891674,-0.41838389746064447,0.006439208984375,-3.495,33.8485,0.904481,,10.15039172973378,7.15039172973378,4.295918900762286,-0.17709113295751797,0.0159149169921875,-1.5541,35.6906,0.924319,,11.37694761447373,8.37694761447373,3.2977399929640407,-0.00544477113133646,0.0175018310546875,0.288,35.6819,0.924075,,12.26828555233567,9.26828555233567,3.2977084637048573,-0.005309453171515075,0.0177459716796875,0.2793
0702.png,35,75,0.9385,0.9426,69,25.5725,0.010716,37.4419,0.946898,,9.10754468789387,2.732633053010855,0.0189666748046875,37.9495,0.951254,,9.117242992297273,6.117242992297273,2.4807905934389742,-0.02345189582358055,0.0184783935546875,0.5076,37.5947,0.947748,,9.695861445051483,6.695861445051483,2.62842361719212,-0.16975302181698274,0.0193939208984375,0.1528,27.5014,0.876483,,7.411365330137236,4.411365330137236,4.000524443421462,-0.6244739331415892,0.284637451171875,-9.9405,34.6754,0.921149,,9.806552364642664,6.806552364642664,4.003185877195142,-0.1437400880190766,0.0165863037109375,-2.7665,37.6226,0.948388,,8.885529817119032,5.885529817119032,2.641075402936406,-0.025200500712345027,0.019134521484375,0.1807,37.6937,0.948728,,10.248105701480126,7.248105701480126,2.597793626823471,-0.10078616270021953,0.0191497802734375,0.2518
0702.png,35,90,1.6732,1.703,89,14.3434,0.007007,40.324,0.969179,,6.910424153507626,1.7866654575157137,0.0169677734375,40.3238,0.969179,,6.909410359095291,3.9094103590952907,1.7867391543920403,0.02929458978366688,0.0169677734375,-0.0002,40.2445,0.968585,,7.615258179139413,4.615258179139413,1.7789362106021007,-0.20902738983134106,0.0169677734375,-0.0795,32.0017,0.922537,,3.0090001097526935,0.009000109752693497,5.647035994430006,-0.0061997883802233315,0.00506591796875,-8.3223,35.1987,0.931752,,10.157181301635525,7.157181301635525,3.8511753972990133,-0.12492428129355841,0.01611328125,-5.1253,40.3611,0.969562,,7.170276307272123,4.170276307272123,1.771672538460682,-0.012284053034551531,0.0162811279296875,0.0371,40.1664,0.968715,,10.350837218349792,7.350837218349792,1.8286161943907193,-0.20522359455507755,0.017974853515625,-0.1576
0252.png,36,10,0.2522,0.2478,3,95.1636,0.029854,25.5373,0.718261,,7.199476952820346,7.612647658323678,0.01702880859375,25.891,0.738994,,7.262633902503991,4.262633902503991,6.599328702419585,0.35876484113307683,0.016143798828125,0.3537,25.8382,0.735101,,6.875962902266662,3.8759629022666617,6.759380191313595,0.2833123607453809,0.01568603515625,0.3009,22.3889,0.598528,,5.560157974300485,2.560157974300485,10.52178026016138,0.07344534061013985,0.0310516357421875,-3.1484,25.5579,0.730754,,6.750729670436342,3.7507296704363418,7.361536338324342,0.20176985527148142,0.0174713134765625,0.0206,25.8808,0.742375,,7.486588706203342,4.486588706203342,6.613378723623627,0.4051687510812464,0.017333984375,0.3435,25.6962,0.728328,,6.991167751005072,3.9911677510050723,7.162483867138051,0.23814189308121825,0.0170440673828125,0.1589
0252.png,36,25,0.512,0.512,17,46.8714,0.019832,28.955,0.808594,,7.49324770337396,5.057166480790445,0.0182647705078125,29.4408,0.824609,,8.1813323019429,5.1813323019429,4.1113889760689135,0.2695969276792955,0.016510009765625,0.4858,29.2846,0.818779,,7.5499104016466765,4.5499104016466765,4.4333141673019165,0.21295728369175757,0.016632080078125,0.3296,26.1652,0.796155,,9.015210951605122,6.0152109516051215,6.399278310540605,-0.041462815808753564,0.0308990478515625,-2.7898,28.6255,0.80938,,7.73190751982989,4.73190751982989,5.483297124976578,0.3334698112022599,0.018218994140625,-0.3295,29.1896,0.817848,,7.548989464073474,4.548989464073474,4.597835389710689,0.2353886095495369,0.0179443359375,0.2346,29.1336,0.815617,,7.528728728063161,4.528728728063161,4.701504773531655,0.16699757865926398,0.01788330078125,0.1786
0252.png,36,50,0.8094,0.8071,39,29.6504,0.0152,31.0504,0.862792,,7.369397585859756,3.875960538452994,0.01763916015625,31.0413,0.862607,,7.275549379625395,4.275549379625395,3.8941449999101883,0.09288919802796651,0.0175323486328125,-0.0091,31.329,0.868646,,8.231653437519254,5.231653437519254,3.4558752339970336,0.2811805170843494,0.0160675048828125,0.2786,28.5795,0.864799,,2.490702097314668,-0.5092979026853319,6.948768929116476,0.18216243355039455,0.0019073486328125,-2.4709,30.2344,0.85466,,8.31159864974638,5.311598649746379,4.851942339729068,0.5452294214630439,0.0191192626953125,-0.816,31.2178,0.867025,,7.578239895371475,4.578239895371475,3.6175427052138565,0.1165350339987998,0.016815185546875,0.1674,31.2144,0.867576,,7.822273472196496,4.822273472196496,3.613679967044439,0.22189683740440827,0.01690673828125,0.164
0252.png,36,75,1.2386,1.249,70,19.3769,0.011683,32.8464,0.899212,,7.053120756357331,2.979080710908189,0.0164947509765625,33.1565,0.904231,,6.926102616322634,3.926102616322634,2.575688104187936,0.1507226114703567,0.014404296875,0.3101,33.0544,0.902397,,7.601438730783811,4.601438730783811,2.7073372058030936,0.22508086593916085,0.015289306640625,0.208,26.7165,0.831428,,6.955889509024975,3.955889509024975,4.468960615083884,-0.7336626852777031,0.17315673828125,-6.1299,31.3953,0.882708,,9.07040126860558,6.070401268605581,4.470999125196918,0.7129169328665401,0.0197296142578125,-1.4511,32.9141,0.900681,,6.929696201802151,3.929696201802151,2.8861088553793994,0.1560165212866201,0.016143798828125,0.0677,32.9932,0.902292,,7.6359423104491695,4.6359423104491695,2.778113051299854,0.23192691098601828,0.0161895751953125,0.1468
0252.png,36,90,2.1142,2.0886,88,11.3517,0.007741,35.0189,0.933397,,5.004887068202333,1.974059738243648,0.0125579833984375,35.0189,0.933397,,5.0040824066093,2.0040824066093004,1.9740710190449815,0.03549065199076695,0.012542724609375,0.0,35.0705,0.933774,,5.62160830860902,2.6216083086090203,1.9226117017079474,0.10357256870815261,0.012664794921875,0.0516,30.0412,0.891828,,2.599424252286062,-0.4005757477139378,6.354366403630801,-0.09235188311588859,0.001678466796875,-4.9777,32.4544,0.905652,,9.593996281159553,6.593996281159553,4.255474984212266,0.7990065855989485,0.0200042724609375,-2.5645,35.0232,0.93368,,5.183186034042971,2.183186034042971,1.9794428381915705,0.023736465044641848,0.01275634765625,0.0043,35.0541,0.934392,,6.68789992670961,3.68789992670961,1.9335752127147385,0.22725556252072818,0.013458251953125,0.0352
0462.png,37,10,0.1898,0.2186,1,126.4563,0.037459,27.4334,0.70915,,6.567674236864283,9.55200740580793,0.016754150390625,27.871,0.727108,,6.761331512920224,3.761331512920224,8.96068296574915,-0.06234354407421311,0.01751708984375,0.4376,27.7704,0.723481,,6.661481839780374,3.6614818397803743,9.086953451101632,-0.05437029851532869,0.01739501953125,0.337,23.7701,0.670715,,7.033896573215125,4.033896573215125,10.93320655811719,-0.22723486416769115,0.0284576416015625,-3.6633,27.6272,0.718534,,6.354890271987636,3.354890271987636,9.24948446023222,-0.08558974825929988,0.0171966552734375,0.1938,27.9532,0.730291,,6.886399034643442,3.886399034643442,8.872398697211084,-0.06809819452176157,0.018035888671875,0.5198,27.6863,0.720285,,6.5469009721771645,3.5469009721771645,9.206898969194059,-0.03376090891036367,0.017181396484375,0.2529
0462.png,37,25,0.4473,0.4436,16,53.6612,0.027754,30.2813,0.8295,,7.658640960926898,7.077232669848586,0.0186614990234375,30.7923,0.841681,,7.976648390299163,4.976648390299163,6.608885591568465,-0.04198133979482919,0.0194549560546875,0.511,30.6446,0.837176,,7.804862124509859,4.804862124509859,6.745875827076606,-0.06315996797052933,0.0194244384765625,0.3633,27.797,0.796225,,6.738952955919289,3.738952955919289,9.316618475965061,-0.9109445722925242,0.022552490234375,-2.4843,29.9661,0.81728,,6.950620026933351,3.9506200269333513,7.40647570329571,-0.09628979820407588,0.01849365234375,-0.3152,30.7121,0.840077,,7.804389607879235,4.804389607879235,6.6887013137078934,-0.03328574447728807,0.018829345703125,0.4308,30.6546,0.837852,,7.711233857027601,4.711233857027601,6.741022706543592,-0.04790382334935674,0.01873779296875,0.3733
0462.png,37,50,0.778,0.7758,38,30.8495,0.021854,32.3311,0.887023,,7.757394362310465,5.572773696088802,0.019622802734375,32.3228,0.886979,,7.747073449782983,4.747073449782983,5.579031178360364,-0.03882688311023247,0.0196533203125,-0.0083,32.6989,0.891095,,7.776763972179216,4.776763972179216,5.314590161678417,-0.07882101466245474,0.019744873046875,0.3678,30.2466,0.877882,,5.129317625388354,2.129317625388354,7.184755886414303,-0.5211320282978886,0.011688232421875,-2.0845,31.1645,0.857286,,6.773668908946487,3.7736689089464868,6.576918524342682,-0.08223243962990347,0.01763916015625,-1.1666,32.7729,0.892791,,7.499608027296066,4.499608027296066,5.257321274037845,-0.08509843927028025,0.0196990966796875,0.4418,32.8036,0.892688,,7.600880672838922,4.600880672838922,5.251420765373347,-0.09844326226226482,0.019683837890625,0.4725
0462.png,37,75,1.2683,1.2629,70,18.9235,0.016525,34.4694,0.924574,,7.02947474759552,4.213890788947162,0.018402099609375,35.0301,0.93006,,6.898240160233745,3.898240160233745,3.880919563663605,-0.007046323496332283,0.0177154541015625,0.5607,34.8242,0.9273,,6.970633303261446,3.9706333032614456,4.013370424544826,-0.011158118538435464,0.0185394287109375,0.3548,27.7981,0.903096,,8.542783994646166,5.542783994646166,5.6382181248713925,-0.4599993783990527,0.04901123046875,-6.6713,31.7877,0.87788,,6.892176306185605,3.892176306185605,6.159566817238991,-0.032039671197090266,0.0175018310546875,-2.6817,34.801,0.927427,,6.811653328689405,3.811653328689405,4.026352043724166,0.010192802645773637,0.01800537109375,0.3316,34.9473,0.928104,,7.109565777086591,4.109565777086591,3.9851747237635498,-0.05685044305160872,0.018218994140625,0.4779
0462.png,37,90,2.2128,2.2258,89,10.8462,0.010023,37.7981,0.955409,,4.313248154520768,2.5559281743461977,0.0102081298828125,37.7981,0.955409,,4.313433598873867,1.3134335988738668,2.5558974064257534,0.007893998139843397,0.0102081298828125,0.0,37.9678,0.955729,,4.117548338898597,1.1175483388985974,2.4912094011704267,0.0038669500056274534,0.0087890625,0.1697,29.3271,0.911966,,5.414566656011835,2.414566656011835,6.035942672865287,0.3981206827700166,0.0186767578125,-8.471,32.1367,0.887955,,6.946493958152735,3.946493958152735,5.9840883088675545,-0.027111635878199102,0.0176849365234375,-5.6614,37.907,0.955891,,4.313938815963521,1.313938815963521,2.519506413752483,0.019369978198504598,0.0092926025390625,0.1089,37.5022,0.954011,,5.884158696447052,2.8841586964470523,2.8164333761127525,-0.10396017480410916,0.0141143798828125,-0.2959
0456.png,38,10,0.168,0.2202,1,142.8578,0.031568,27.8433,0.746199,,6.568750268187599,8.049916761702436,0.017822265625,28.3172,0.760558,,6.566740478726787,3.5667404787267873,7.4066441194319035,0.20195443386031872,0.0177154541015625,0.4739,28.2498,0.762339,,6.581127086228276,3.5811270862282756,7.487587739741719,0.09915439585907852,0.01806640625,0.4065,25.2355,0.701802,,6.613586976365984,3.6135869763659842,9.690308410761508,-0.09611878721406628,0.02691650390625,-2.6078,27.8996,0.747557,,6.368699289403721,3.368699289403721,8.173666077806217,0.27807974680425285,0.018646240234375,0.0563,28.4408,0.769358,,6.931392217144424,3.931392217144424,7.325332900292385,0.1623053732038387,0.0191802978515625,0.5975,28.1213,0.757101,,6.492946872190511,3.492946872190511,7.669227716777205,0.17669239638204512,0.017578125,0.278
0456.png,38,25,0.3929,0.4008,15,61.0821,0.021399,30.4442,0.830112,,6.666350958435742,5.456766982888679,0.017547607421875,30.9206,0.843919,,7.39043078002462,4.39043078002462,4.93325761880923,0.08493619433261024,0.019195556640625,0.4764,30.8095,0.840267,,7.002119526964223,4.002119526964223,5.0805557412355915,0.0425023449732089,0.0185089111328125,0.3653,25.5357,0.786057,,9.284942358439734,6.284942358439734,7.957922366553433,-0.2751908694669607,0.0418701171875,-4.9085,29.8525,0.814002,,7.394725121160395,4.394725121160395,6.481207473674574,0.6026658661975246,0.021942138671875,-0.5917,30.8293,0.840359,,6.981296134905261,3.9812961349052607,5.110907929429304,0.07064615083708406,0.0185394287109375,0.3851,30.7676,0.838644,,6.881169178066594,3.8811691780665942,5.138400036403141,0.10117741001732933,0.0178985595703125,0.3234
0456.png,38,50,0.681,0.6776,37,35.2431,0.016216,32.2806,0.878165,,7.3050114926272665,4.1350006495967255,0.017913818359375,32.2569,0.877664,,7.2050046289009435,4.2050046289009435,4.156350728948322,0.0012340858819396175,0.0176239013671875,-0.0237,32.6095,0.883534,,7.643843190988044,4.643843190988044,3.8880073461121327,-0.001126137387569,0.019256591796875,0.3289,26.0998,0.850508,,4.483413238342523,1.4834132383425231,6.313409668496463,0.8017683474953032,0.0382080078125,-6.1808,30.9612,0.84581,,8.147828773613389,5.147828773613389,5.910648578938299,0.8083793605455535,0.0241241455078125,-1.3194,32.5933,0.883704,,7.225751586956466,4.225751586956466,3.8788402538444364,0.00043986027425314963,0.01849365234375,0.3127,32.6259,0.883861,,7.487854893805052,4.487854893805052,3.8838024762147643,0.06489260717904172,0.019439697265625,0.3453
0456.png,38,75,1.0942,1.0842,69,21.9334,0.011794,33.934,0.911882,,6.997841691726382,3.007479302645236,0.01788330078125,34.2312,0.916523,,7.189978267485692,4.189978267485692,2.730133636164613,0.0004218634477811832,0.0171966552734375,0.2972,34.1529,0.914024,,7.268332583930165,4.268332583930165,2.906613999208285,-0.03794142695181845,0.0186614990234375,0.2189,27.1815,0.891919,,8.225412383761359,5.225412383761359,4.511504588983168,-0.962671601034292,0.1078338623046875,-6.7525,31.6165,0.865793,,8.522542791558704,5.522542791558704,5.601444456999713,0.8975825589586887,0.02398681640625,-2.3175,34.0981,0.913861,,6.819575704084162,3.819575704084162,2.880630828659207,-0.0009257656358182748,0.017303466796875,0.1641,34.1953,0.914695,,7.717990028447655,4.717990028447655,2.9075891672512326,0.04410472122226548,0.018768310546875,0.2613
0456.png,38,90,1.9051,1.9309,89,12.5975,0.007253,36.0003,0.939804,,5.807016202695409,1.8495814958104382,0.015350341796875,36.0002,0.939804,,5.806409718190002,2.806409718190002,1.8496947357357059,0.039764839931606996,0.0153350830078125,-0.0001,35.9635,0.938645,,6.758598579327694,3.7585985793276944,2.0234708536971127,-0.07359684320436308,0.0178070068359375,-0.0368,27.9837,0.915083,,3.6226366581804283,0.6226366581804283,6.096439405959316,-1.09810898122034,0.00396728515625,-8.0166,32.1703,0.879307,,8.790266069857081,5.790266069857081,5.438527136243493,0.9641085305670155,0.024169921875,-3.83,36.0369,0.940115,,6.547723487372561,3.5477234873725614,1.8405886931445647,0.050360546217311446,0.0150909423828125,0.0366,35.9829,0.939215,,8.82477068221127,5.82477068221127,2.082971716097956,0.045592741960323514,0.0190582275390625,-0.0174
